[10:46:51:945 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/FishermansWharf/review20488.json
[10:46:51:947 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/FishermansWharf/review24625.json
[10:46:51:950 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/FishermansWharf/review578899.json
[10:46:51:951 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/FishermansWharf/review422927.json
[10:46:51:962 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/FinancialDistrict/review4302.json
[10:46:51:964 @54 pool-2-thread-2: File path is input/reviews/Emeryville/review10323.json
[10:46:51:967 @54 pool-2-thread-3: File path is input/reviews/Emeryville/review547988.json
[10:46:51:970 @54 pool-2-thread-2: File path is input/reviews/Emeryville/review17280.json
[10:46:51:975 @54 pool-2-thread-1: File path is input/reviews/Emeryville/review15674041.json
[10:46:51:985 @63 main: Reviews loading: done
[10:46:51:987 @33 main: Data loading: map hotel review
[10:46:51:992 @35 main: Data loading: map word review
[10:46:52:836 @37 main: Data loading: done
[10:46:53:009 @34 main: Added servlet: bichel.yauhen.web.app.servlet.WordServlet
[10:46:53:088 @34 main: Added servlet: bichel.yauhen.web.app.servlet.ReviewsServlet
[10:46:53:101 @34 main: Added servlet: bichel.yauhen.web.app.servlet.HotelServlet
[10:46:53:120 @34 main: Added servlet: bichel.yauhen.web.app.servlet.WeatherServlet
[10:46:53:154 @52 main: Starting Jetty server
